image_id,image_location,turtle_id,class,Unnamed: 0,Unnamed: 0.1
ID_2RK4WLN8,top,t_id_VP2NW7aV,87,,
ID_RVATH2HZ,Right,t_id_3b65X5Lw,98,,
ID_2GB90GPS,left,t_id_YjXYTCGC,6,,
ID_M23WYAY4,left,t_id_ksTLswDT,63,,
ID_8VXV1HDO,top,t_id_hRzOoJ2t,46,,
ID_RHU29QC9,left,t_id_utw0thCe,36,,
ID_4SG74XJ1,Top,t_id_k1rScFLB,85,,
ID_KXCS1UOR,left,t_id_n2FBHk6d,21,,
ID_ZLVRXJZR,left,t_id_G5eoqwD8,74,,
ID_V9OTO8MH,right,t_id_Ts5LyVQz,14,,
ID_6Y4FG4BB,right,t_id_NW7wn8TC,27,,
ID_2LXSCM50,left,t_id_JI6ba2Yx,31,,
ID_TGN9OBL2,left,t_id_ifWwxWF4,92,,
ID_S6FL4KD3,right,t_id_dVQ4x3wz,30,,
ID_3L6M3RWM,right,t_id_3K93fQBS,16,,
ID_Z8AKLN0N,left,t_id_hRzOoJ2t,46,,
ID_10S4M153,top,t_id_IlO9BOKc,13,,
ID_XP6OWWQW,right,t_id_DPYQnZyv,26,,
ID_XZJJ5JKN,right,t_id_BI99coHt,29,,
ID_I7XE1RII,left,t_id_GrxmyS59,20,,
ID_JICN2IP3,right,t_id_AOWArhGb,34,,
ID_891VOTKK,left,t_id_4XiPKIk7,49,,
ID_WWMKB8ZD,top,t_id_mpuNp8mf,53,,
ID_O3K6N0PN,left,t_id_stWei2Uq,37,,
ID_F84YDUV1,left,t_id_NW7wn8TC,27,,
ID_Y3N4ES3O,right,t_id_Kf73l69A,39,,
ID_EU9I4R8T,left,t_id_Kf73l69A,39,,
ID_1E6X2GLW,right,t_id_Kc1tXDbJ,19,,
ID_ZT7NN2BN,top,t_id_AOWArhGb,34,,
ID_VXC0GWEK,top,t_id_iZQiE7wb,57,,
ID_1EAHT0TG,right,t_id_m2JvEcsg,2,,
ID_V1PZ6AR5,top,t_id_a4VYrmyA,64,,
ID_IS1EW5KB,top,t_id_hRzOoJ2t,46,,
ID_BPL211JZ,Right,t_id_3b65X5Lw,98,,
ID_19M73WWV,right,t_id_tjWepji1,80,,
ID_2A9SNF98,right,t_id_hRzOoJ2t,46,,
ID_JZZF3AJ5,right,t_id_UVQa4BMz,95,,
ID_PITDB70K,left,t_id_BXWccqAn,50,,
ID_489B62RG,right,t_id_1KIezxkh,78,,
ID_X8HHIP6P,left,t_id_e9i3Lbq4,82,,
ID_P7LXRA4M,left,t_id_4XiPKIk7,49,,
ID_IOKYX7ZF,right,t_id_Kf73l69A,39,,
ID_I3A1FMQ8,right,t_id_qZ0iZYsC,61,,
ID_BW9BPB5F,left,t_id_AOWArhGb,34,,
ID_N7VYJGMW,right,t_id_JI6ba2Yx,31,,
ID_46LUQOPY,right,t_id_8b8sprYe,33,,
ID_IZB1O90H,right,t_id_2QmcRkNj,11,,
ID_G7D2IW6Z,top,t_id_UVQa4BMz,95,,
ID_E1VTOK0D,right,t_id_iZQiE7wb,57,,
ID_BP9DTP1R,top,t_id_9GFmcOd5,77,,
ID_6Z5TCW8Q,top,t_id_hibDzPAP,83,,
ID_XLATFLE4,top,t_id_D3kHUEgp,70,,
ID_FVIB6JCX,left,t_id_ROFhVsy2,69,,
ID_PVJNH2XA,top,t_id_Ts5LyVQz,14,,
ID_D0KS9Z47,top,t_id_mpuNp8mf,53,,
ID_36LEVX0D,right,t_id_ksTLswDT,63,,
ID_9ITS1S4K,Top,t_id_B7LaSiac,32,,
ID_T44CRJ0L,top,t_id_Kf73l69A,39,,
ID_H20MDDZJ,top,t_id_qZ0iZYsC,61,,
ID_TIPS2OY1,left,t_id_m2JvEcsg,2,,
ID_3XOEESPD,top,t_id_fjHGjp1w,8,,
ID_FOD2ERLL,top,t_id_gJaKYxBQ,4,,
ID_BKVAYKO9,right,t_id_72SiiZCp,58,,
